RowTitles,Mar,Jan,Feb,Nov,Sep,Dec,Apr,Aug,Jul,Jun,Oct,May
CONVENTIONS,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
LENGTH OF STAY,1.65,1.65,1.71,1.66,1.73,1.44,1.91,1.6,1.54,2.0,1.82,1.9
CLIENTS UNDER 20 YEARS,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,4.0,2.0
CLIENTELE M.EAST,0.0,1.0,0.0,0.0,2.0,1.0,8.0,4.0,6.0,4.0,1.0,6.0
CLIENTELE SOUTH-AMERICA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,6.0,6.0,12.0,8.0
CLIENTELE ASIA,6.0,3.0,10.0,5.0,5.0,2.0,0.0,9.0,8.0,13.0,2.0,3.0
AIR CREWS,6.0,10.0,12.0,15.0,6.0,10.0,9.0,6.0,7.0,5.0,5.0,4.0
CLIENTELE USA,3.0,7.0,6.0,8.0,9.0,8.0,6.0,14.0,19.0,14.0,6.0,23.0
TOURISTS,15.0,22.0,20.0,13.0,13.0,20.0,14.0,24.0,30.0,13.0,15.0,15.0
CLIENTS MORE THAN 55 YEARS,17.0,25.0,22.0,19.0,19.0,22.0,15.0,19.0,19.0,19.0,20.0,19.0
CLIENTELE EUROPE,14.0,20.0,15.0,19.0,27.0,17.0,15.0,30.0,22.0,27.0,19.0,23.0
AGENCY RESERVATIONS,19.0,20.0,18.0,21.0,26.0,15.0,17.0,19.0,19.0,27.0,27.0,27.0
CLIENTELE FEMALE,26.0,26.0,21.0,15.0,20.0,40.0,28.0,20.0,20.0,20.0,40.0,20.0
CLIENTS 20-35 YEARS,37.0,25.0,27.0,24.0,24.0,30.0,35.0,28.0,27.0,25.0,30.0,25.0
CLIENTS 35-55 YEARS,42.0,48.0,49.0,55.0,55.0,43.0,48.0,51.0,53.0,55.0,46.0,54.0
CLIENTELE LOCAL,77.0,69.0,70.0,68.0,55.0,72.0,71.0,39.0,39.0,36.0,60.0,37.0
DIRECT RESERVATIONS,75.0,70.0,70.0,64.0,68.0,75.0,74.0,75.0,74.0,68.0,68.0,69.0
OCCUPANCY,70.0,67.0,82.0,78.0,90.0,55.0,83.0,62.0,56.0,77.0,92.0,74.0
BUSINESSMEN,85.0,78.0,80.0,87.0,87.0,80.0,86.0,76.0,70.0,87.0,85.0,85.0
PRICE OF ROOMS,166.0,163.0,167.0,165.0,157.0,158.0,174.0,170.0,145.0,155.0,174.0,152.0
